"feature","type"
"x1","numeric"
"x2","numeric"
"x3","numeric"
"x4","numeric"
"x5","numeric"
"x6","numeric"
"x7","numeric"
"x8","numeric"
"x9","numeric"
"x10","numeric"
"x11","numeric"
"x12","numeric"
"x13","numeric"
"x14","numeric"
"x15","numeric"
"x16","numeric"
"x17","numeric"
"x18","numeric"
"x19","numeric"
"x20","numeric"
"x21","numeric"
"x22","numeric"
"x23","numeric"
"x24","numeric"
"x25","numeric"
"x26","numeric"
"x27","numeric"
"x28","numeric"
"x29","numeric"
"x30","numeric"
"x31","numeric"
"x32","numeric"
"x33","numeric"
"x34","numeric"
"x35","numeric"
"x36","numeric"
"x37","numeric"
"x38","numeric"
"x39","numeric"
"x40","numeric"
"x41","numeric"
"x42","numeric"
"x43","numeric"
"x44","numeric"
"x45","numeric"
"x46","numeric"
"x47","numeric"
"x48","numeric"
"x49","numeric"
"x50","numeric"
"x51","numeric"
"x52","numeric"
"x53","numeric"
"x54","numeric"
"x55","numeric"
"x56","numeric"
"x57","numeric"
"x58","numeric"
"x59","numeric"
"x60","numeric"
"x61","numeric"
"x62","numeric"
"x63","numeric"
"x64","numeric"
"x65","numeric"
"x66","numeric"
"x67","numeric"
"x68","numeric"
"x69","numeric"
"x70","numeric"
"x71","numeric"
"x72","numeric"
"x73","numeric"
"x74","numeric"
"x75","numeric"
"x76","numeric"
"x77","numeric"
"x78","numeric"
"x79","numeric"
"x80","numeric"
"x81","numeric"
"x82","numeric"
"x83","numeric"
"x84","numeric"
"x85","numeric"
"x86","numeric"
"x87","numeric"
"x88","numeric"
"x89","numeric"
"x90","numeric"
"x91","numeric"
"x92","numeric"
"x93","numeric"
"x94","numeric"
"x95","numeric"
"x96","numeric"
"x97","numeric"
"x98","numeric"
"x99","numeric"
"x100","numeric"
"x101","numeric"
"x102","numeric"
"x103","numeric"
"x104","numeric"
"x105","numeric"
"x106","numeric"
"x107","numeric"
"x108","numeric"
"x109","numeric"
"x110","numeric"
"x111","numeric"
"x112","numeric"
"x113","numeric"
"x114","numeric"
"x115","numeric"
"x116","numeric"
"x117","numeric"
"x118","numeric"
"x119","numeric"
"x120","numeric"
"x121","numeric"
"x122","numeric"
"x123","numeric"
"x124","numeric"
"x125","numeric"
"x126","numeric"
"x127","numeric"
"x128","numeric"
"x129","numeric"
"x130","numeric"
"x131","numeric"
"x132","numeric"
"x133","numeric"
"x134","numeric"
"x135","numeric"
"x136","numeric"
"x137","numeric"
"x138","numeric"
"x139","numeric"
"x140","numeric"
"x141","numeric"
"x142","numeric"
"x143","numeric"
"x144","numeric"
"x145","numeric"
"x146","numeric"
"x147","numeric"
"x148","numeric"
"x149","numeric"
"x150","numeric"
"x151","numeric"
"x152","numeric"
"x153","numeric"
"x154","numeric"
"x155","numeric"
"x156","numeric"
"x157","numeric"
"x158","numeric"
"x159","numeric"
"x160","numeric"
"x161","numeric"
"x162","numeric"
"x163","numeric"
"x164","numeric"
"x165","numeric"
"x166","numeric"
"x167","numeric"
"x168","numeric"
"x169","numeric"
"x170","numeric"
"x171","numeric"
"x172","numeric"
"x173","numeric"
"x174","numeric"
"x175","numeric"
"x176","numeric"
"x177","numeric"
"x178","numeric"
"x179","numeric"
"x180","numeric"
"x181","numeric"
"x182","numeric"
"x183","numeric"
"x184","numeric"
"x185","numeric"
"x186","numeric"
"x187","numeric"
"x188","numeric"
"x189","numeric"
"x190","numeric"
"x191","numeric"
"x192","numeric"
"x193","numeric"
"x194","numeric"
"x195","numeric"
"x196","numeric"
"x197","numeric"
"x198","numeric"
"x199","numeric"
"x200","numeric"
"x201","numeric"
"x202","numeric"
"x203","numeric"
"x204","numeric"
"x205","numeric"
"x206","numeric"
"x207","numeric"
"x208","numeric"
"x209","numeric"
"x210","numeric"
"x211","numeric"
"x212","numeric"
"x213","numeric"
"x214","numeric"
"x215","numeric"
"x216","numeric"
"x217","numeric"
"x218","numeric"
"x219","numeric"
"x220","numeric"
"x221","numeric"
"x222","numeric"
"x223","numeric"
"x224","numeric"
"x225","numeric"
"x226","numeric"
"x227","numeric"
"x228","numeric"
"x229","numeric"
"x230","numeric"
"x231","numeric"
"x232","numeric"
"x233","numeric"
"x234","numeric"
"x235","numeric"
"x236","numeric"
"x237","numeric"
"x238","numeric"
"x239","numeric"
"x240","numeric"
"x241","numeric"
"x242","numeric"
"x243","numeric"
"x244","numeric"
"x245","numeric"
"x246","numeric"
"x247","numeric"
"x248","numeric"
"x249","numeric"
"x250","numeric"
"x251","numeric"
"x252","numeric"
"x253","numeric"
"x254","numeric"
"x255","numeric"
"x256","numeric"
"x257","numeric"
"x258","numeric"
"x259","numeric"
"x260","numeric"
"x261","numeric"
"x262","numeric"
"x263","numeric"
"x264","numeric"
"x265","numeric"
"x266","numeric"
"x267","numeric"
"x268","numeric"
"x269","numeric"
"x270","numeric"
"x271","numeric"
"x272","numeric"
"x273","numeric"
"x274","numeric"
"x275","numeric"
"x276","numeric"
"x277","numeric"
"x278","numeric"
"x279","numeric"
"x280","numeric"
"x281","numeric"
"x282","numeric"
"x283","numeric"
"x284","numeric"
"x285","numeric"
"x286","numeric"
"x287","numeric"
"x288","numeric"
"x289","numeric"
"x290","numeric"
"x291","numeric"
"x292","numeric"
"x293","numeric"
"x294","numeric"
"x295","numeric"
"x296","numeric"
"x297","numeric"
"x298","numeric"
"x299","numeric"
"x300","category"
"x301","category"
"x302","category"
"x303","category"
"x304","numeric"
"x305","numeric"
"x306","numeric"
"x307","numeric"
"x308","category"
"x309","category"
"x310","category"
"x311","category"
"x312","category"
"x313","category"
"x314","category"
"x315","category"
"x316","category"
"x317","category"
"x318","category"
"x319","category"
"x320","category"
"x321","category"
"x322","numeric"
"x323","numeric"
"x324","numeric"
"x325","numeric"
"x326","numeric"
"x327","numeric"
"x328","numeric"
"x329","numeric"
"x330","numeric"
"x331","numeric"
"x332","numeric"
"x333","numeric"
"x334","numeric"
"x335","numeric"
"x336","numeric"
"x337","numeric"
"x338","numeric"
"x339","numeric"
"x340","numeric"
"x341","numeric"
"x342","numeric"
"x343","numeric"
"x344","numeric"
"x345","numeric"
"x346","numeric"
"x347","numeric"
"x348","numeric"
"x349","numeric"
"x350","numeric"
"x351","numeric"
"x352","numeric"
"x353","numeric"
"x354","numeric"
"x355","numeric"
"x356","numeric"
"x357","numeric"
"x358","numeric"
"x359","numeric"
"x360","numeric"
"x361","numeric"
"x362","numeric"
"x363","numeric"
"x364","numeric"
"x365","numeric"
"x366","numeric"
"x367","numeric"
"x368","numeric"
"x369","numeric"
"x370","numeric"
"x371","numeric"
"x372","numeric"
"x373","numeric"
"x374","numeric"
"x375","numeric"
"x376","numeric"
"x377","numeric"
"x378","numeric"
"x379","numeric"
"x380","numeric"
"x381","numeric"
"x382","numeric"
"x383","numeric"
"x384","numeric"
"x385","numeric"
"x386","numeric"
"x387","numeric"
"x388","numeric"
"x389","numeric"
"x390","numeric"
"x391","numeric"
"x392","numeric"
"x393","numeric"
"x394","numeric"
"x395","numeric"
"x396","numeric"
"x397","numeric"
"x398","numeric"
"x399","numeric"
"x400","numeric"
"x401","numeric"
"x402","numeric"
"x403","numeric"
"x404","numeric"
"x405","numeric"
"x406","numeric"
"x407","numeric"
"x408","numeric"
"x409","numeric"
"x410","numeric"
"x411","category"
"x412","numeric"
"x413","numeric"
"x414","numeric"
"x415","category"
"x416","category"
"x417","category"
"x418","numeric"
"x419","numeric"
"x420","numeric"
"x421","numeric"
"x422","numeric"
"x423","numeric"
"x424","numeric"
"x425","numeric"
"x426","category"
"x427","numeric"
"x428","numeric"
"x429","numeric"
"x430","numeric"
"x431","numeric"
"x432","numeric"
"x433","numeric"
"x434","numeric"
"x435","numeric"
"x436","numeric"
"x437","numeric"
"x438","category"
"x439","category"
"x440","category"
"x441","numeric"
"x442","numeric"
"x443","numeric"
"x444","category"
"x445","numeric"
"x446","numeric"
"x447","category"
"x448","category"
"x449","category"
"x450","category"
"x451","numeric"
"x452","category"
"x453","category"
"x454","category"
"x455","category"
"x456","numeric"
"x457","numeric"
"x458","numeric"
"x459","numeric"
"x460","numeric"
"x461","numeric"
"x462","numeric"
"x463","numeric"
"x464","numeric"
"x465","numeric"
"x466","numeric"
"x467","numeric"
"x468","numeric"
"x469","numeric"
"x470","numeric"
"x471","numeric"
"x472","numeric"
"x473","numeric"
"x474","numeric"
"x475","numeric"
"x476","numeric"
"x477","numeric"
"x478","numeric"
"x479","numeric"
"x480","numeric"
"x481","numeric"
"x482","numeric"
"x483","numeric"
"x484","numeric"
"x485","numeric"
"x486","numeric"
"x487","category"
"x488","category"
"x489","numeric"
"x490","numeric"
"x491","numeric"
"x492","numeric"
"x493","numeric"
"x494","numeric"
"x495","numeric"
"x496","numeric"
"x497","numeric"
"x498","numeric"
"x499","numeric"
"x500","numeric"
"x501","numeric"
"x502","numeric"
"x503","numeric"
"x504","numeric"
"x505","numeric"
"x506","numeric"
"x507","numeric"
"x508","numeric"
"x509","numeric"
"x510","numeric"
"x511","numeric"
"x512","numeric"
"x513","numeric"
"x514","numeric"
"x515","numeric"
"x516","numeric"
"x517","numeric"
"x518","numeric"
"x519","numeric"
"x520","numeric"
"x521","numeric"
"x522","numeric"
"x523","numeric"
"x524","numeric"
"x525","numeric"
"x526","numeric"
"x527","numeric"
"x528","numeric"
"x529","numeric"
"x530","numeric"
"x531","numeric"
"x532","numeric"
"x533","numeric"
"x534","numeric"
"x535","numeric"
"x536","numeric"
"x537","numeric"
"x538","numeric"
"x539","numeric"
"x540","numeric"
"x541","numeric"
"x542","numeric"
"x543","numeric"
"x544","numeric"
"x545","numeric"
"x546","numeric"
"x547","numeric"
"x548","numeric"
"x549","numeric"
"x550","numeric"
"x551","numeric"
"x552","numeric"
"x553","numeric"
"x554","numeric"
"x555","numeric"
"x556","numeric"
"x557","numeric"
"x558","numeric"
"x559","numeric"
"x560","numeric"
"x561","numeric"
"x562","numeric"
"x563","numeric"
"x564","numeric"
"x565","numeric"
"x566","numeric"
"x567","numeric"
"x568","numeric"
"x569","numeric"
"x570","numeric"
"x571","numeric"
"x572","numeric"
"x573","numeric"
"x574","numeric"
"x575","numeric"
"x576","numeric"
"x577","numeric"
"x578","numeric"
"x579","numeric"
"x580","numeric"
"x581","numeric"
"x582","numeric"
"x583","numeric"
"x584","numeric"
"x585","numeric"
"x586","numeric"
"x587","numeric"
"x588","numeric"
"x589","numeric"
"x590","numeric"
"x591","numeric"
"x592","numeric"
"x593","numeric"
"x594","numeric"
"x595","numeric"
"x596","numeric"
"x597","numeric"
"x598","numeric"
"x599","numeric"
"x600","numeric"
"x601","numeric"
"x602","numeric"
"x603","numeric"
"x604","numeric"
"x605","numeric"
"x606","numeric"
"x607","numeric"
"x608","numeric"
"x609","numeric"
"x610","numeric"
"x611","numeric"
"x612","numeric"
"x613","numeric"
"x614","numeric"
"x615","numeric"
"x616","numeric"
"x617","numeric"
"x618","numeric"
"x619","numeric"
"x620","numeric"
"x621","numeric"
"x622","numeric"
"x623","numeric"
"x624","numeric"
"x625","numeric"
"x626","numeric"
"x627","numeric"
"x628","numeric"
"x629","numeric"
"x630","numeric"
"x631","numeric"
"x632","numeric"
"x633","numeric"
"x634","numeric"
"x635","numeric"
"x636","numeric"
"x637","numeric"
"x638","numeric"
"x639","numeric"
"x640","numeric"
"x641","numeric"
"x642","numeric"
"x643","numeric"
"x644","numeric"
"x645","numeric"
"x646","numeric"
"x647","numeric"
"x648","numeric"
"x649","numeric"
"x650","numeric"
"x651","numeric"
"x652","numeric"
"x653","numeric"
"x654","numeric"
"x655","numeric"
"x656","numeric"
"x657","numeric"
"x658","numeric"
"x659","numeric"
"x660","numeric"
"x661","numeric"
"x662","numeric"
"x663","numeric"
"x664","numeric"
"x665","numeric"
"x666","numeric"
"x667","numeric"
"x668","numeric"
"x669","numeric"
"x670","numeric"
"x671","numeric"
"x672","numeric"
"x673","numeric"
"x674","numeric"
"x675","numeric"
"x676","numeric"
"x677","numeric"
"x678","numeric"
"x679","numeric"
"x680","numeric"
"x681","numeric"
"x682","numeric"
"x683","numeric"
"x684","numeric"
"x685","numeric"
"x686","numeric"
"x687","numeric"
"x688","numeric"
"x689","numeric"
"x690","numeric"
"x691","numeric"
"x692","numeric"
"x693","numeric"
"x694","numeric"
"x695","numeric"
"x696","numeric"
"x697","numeric"
"x698","numeric"
"x699","numeric"
"x700","numeric"
"x701","numeric"
"x702","numeric"
"x703","numeric"
"x704","numeric"
"x705","numeric"
"x706","numeric"
"x707","numeric"
"x708","numeric"
"x709","numeric"
"x710","numeric"
"x711","numeric"
"x712","numeric"
"x713","numeric"
"x714","numeric"
"x715","numeric"
"x716","numeric"
"x717","numeric"
"x718","numeric"
"x719","numeric"
"x720","numeric"
"x721","numeric"
"x722","numeric"
"x723","numeric"
"x724","numeric"
"x725","numeric"
"x726","numeric"
"x727","numeric"
"x728","numeric"
"x729","numeric"
"x730","numeric"
"x731","numeric"
"x732","numeric"
"x733","numeric"
"x734","numeric"
"x735","numeric"
"x736","numeric"
"x737","numeric"
"x738","numeric"
"x739","numeric"
"x740","numeric"
"x741","numeric"
"x742","numeric"
"x743","numeric"
"x744","numeric"
"x745","numeric"
"x746","numeric"
"x747","numeric"
"x748","numeric"
"x749","numeric"
"x750","numeric"
"x751","numeric"
"x752","numeric"
"x753","numeric"
"x754","numeric"
"x755","numeric"
"x756","numeric"
"x757","numeric"
"x758","numeric"
"x759","numeric"
"x760","numeric"
"x761","numeric"
"x762","numeric"
"x763","numeric"
"x764","numeric"
"x765","numeric"
"x766","numeric"
"x767","numeric"
"x768","numeric"
"x769","numeric"
"x770","numeric"
"x771","numeric"
"x772","numeric"
"x773","numeric"
"x774","numeric"
"x775","numeric"
"x776","numeric"
"x777","numeric"
"x778","numeric"
"x779","numeric"
"x780","numeric"
"x781","numeric"
"x782","numeric"
"x783","numeric"
"x784","numeric"
"x785","numeric"
"x786","numeric"
"x787","numeric"
"x788","numeric"
"x789","numeric"
"x790","numeric"
"x791","numeric"
"x792","numeric"
"x793","numeric"
"x794","numeric"
"x795","numeric"
"x796","numeric"
"x797","numeric"
"x798","numeric"
"x799","numeric"
"x800","numeric"
"x801","numeric"
"x802","numeric"
"x803","numeric"
"x804","numeric"
"x805","numeric"
"x806","numeric"
"x807","numeric"
"x808","numeric"
"x809","numeric"
"x810","numeric"
"x811","numeric"
"x812","numeric"
"x813","numeric"
"x814","numeric"
"x815","numeric"
"x816","numeric"
"x817","numeric"
"x818","numeric"
"x819","numeric"
"x820","numeric"
"x821","numeric"
"x822","numeric"
"x823","numeric"
"x824","numeric"
"x825","numeric"
"x826","numeric"
"x827","numeric"
"x828","numeric"
"x829","numeric"
"x830","numeric"
"x831","numeric"
"x832","numeric"
"x833","numeric"
"x834","numeric"
"x835","numeric"
"x836","numeric"
"x837","numeric"
"x838","numeric"
"x839","numeric"
"x840","numeric"
"x841","numeric"
"x842","numeric"
"x843","numeric"
"x844","numeric"
"x845","numeric"
"x846","numeric"
"x847","numeric"
"x848","numeric"
"x849","numeric"
"x850","numeric"
"x851","numeric"
"x852","numeric"
"x853","numeric"
"x854","numeric"
"x855","numeric"
"x856","numeric"
"x857","numeric"
"x858","numeric"
"x859","numeric"
"x860","numeric"
"x861","numeric"
"x862","numeric"
"x863","numeric"
"x864","numeric"
"x865","numeric"
"x866","numeric"
"x867","numeric"
"x868","numeric"
"x869","numeric"
"x870","numeric"
"x871","numeric"
"x872","numeric"
"x873","numeric"
"x874","numeric"
"x875","numeric"
"x876","numeric"
"x877","numeric"
"x878","numeric"
"x879","numeric"
"x880","numeric"
"x881","numeric"
"x882","numeric"
"x883","category"
"x884","category"
"x885","category"
"x886","category"
"x887","numeric"
"x888","numeric"
"x889","numeric"
"x890","numeric"
"x891","numeric"
"x892","numeric"
"x893","numeric"
"x894","numeric"
"x895","numeric"
"x896","numeric"
"x897","numeric"
"x898","numeric"
"x899","numeric"
"x900","numeric"
"x901","numeric"
"x902","numeric"
"x903","numeric"
"x904","numeric"
"x905","numeric"
"x906","numeric"
"x907","numeric"
"x908","numeric"
"x909","numeric"
"x910","numeric"
"x911","numeric"
"x912","numeric"
"x913","numeric"
"x914","numeric"
"x915","numeric"
"x916","numeric"
"x917","numeric"
"x918","numeric"
"x919","numeric"
"x920","numeric"
"x921","numeric"
"x922","numeric"
"x923","numeric"
"x924","numeric"
"x925","numeric"
"x926","numeric"
"x927","numeric"
"x928","numeric"
"x929","numeric"
"x930","numeric"
"x931","numeric"
"x932","numeric"
"x933","numeric"
"x934","numeric"
"x935","numeric"
"x936","numeric"
"x937","numeric"
"x938","numeric"
"x939","numeric"
"x940","numeric"
"x941","numeric"
"x942","numeric"
"x943","numeric"
"x944","numeric"
"x945","numeric"
"x946","numeric"
"x947","numeric"
"x948","numeric"
"x949","numeric"
"x950","numeric"
"x951","numeric"
"x952","numeric"
"x953","numeric"
"x954","numeric"
"x955","numeric"
"x956","numeric"
"x957","numeric"
"x958","numeric"
"x959","numeric"
"x960","numeric"
"x961","numeric"
"x962","numeric"
"x963","numeric"
"x964","numeric"
"x965","numeric"
"x966","numeric"
"x967","numeric"
"x968","numeric"
"x969","numeric"
"x970","numeric"
"x971","numeric"
"x972","numeric"
"x973","numeric"
"x974","numeric"
"x975","numeric"
"x976","numeric"
"x977","numeric"
"x978","numeric"
"x979","numeric"
"x980","numeric"
"x981","numeric"
"x982","numeric"
"x983","numeric"
"x984","numeric"
"x985","numeric"
"x986","numeric"
"x987","numeric"
"x988","numeric"
"x989","numeric"
"x990","numeric"
"x991","numeric"
"x992","numeric"
"x993","numeric"
"x994","numeric"
"x995","numeric"
"x996","numeric"
"x997","numeric"
"x998","numeric"
"x999","numeric"
"x1000","numeric"
"x1001","numeric"
"x1002","numeric"
"x1003","numeric"
"x1004","numeric"
"x1005","numeric"
"x1006","numeric"
"x1007","numeric"
"x1008","numeric"
"x1009","numeric"
"x1010","numeric"
"x1011","numeric"
"x1012","numeric"
"x1013","numeric"
"x1014","numeric"
"x1015","numeric"
"x1016","numeric"
"x1017","numeric"
"x1018","numeric"
"x1019","numeric"
"x1020","numeric"
"x1021","numeric"
"x1022","numeric"
"x1023","numeric"
"x1024","numeric"
"x1025","numeric"
"x1026","numeric"
"x1027","numeric"
"x1028","numeric"
"x1029","numeric"
"x1030","numeric"
"x1031","category"
"x1032","category"
"x1033","category"
"x1034","category"
"x1035","category"
"x1036","category"
"x1037","category"
"x1038","category"
"x1039","category"
"x1040","category"
"x1041","category"
"x1042","category"
"x1043","category"
"x1044","category"
"x1045","category"
"x1046","category"
"x1047","category"
"x1048","numeric"
"x1049","numeric"
"x1050","category"
"x1051","category"
"x1052","category"
"x1053","numeric"
"x1054","numeric"
"x1055","numeric"
"x1056","numeric"
"x1057","numeric"
"x1058","numeric"
"x1059","numeric"
"x1060","numeric"
"x1061","numeric"
"x1062","numeric"
"x1063","numeric"
"x1064","numeric"
"x1065","numeric"
"x1066","numeric"
"x1067","numeric"
"x1068","numeric"
"x1069","numeric"
"x1070","numeric"
"x1071","numeric"
"x1072","numeric"
"x1073","numeric"
"x1074","numeric"
"x1075","numeric"
"x1076","numeric"
"x1077","numeric"
"x1078","numeric"
"x1079","numeric"
"x1080","numeric"
"x1081","numeric"
"x1082","numeric"
"x1083","numeric"
"x1084","numeric"
"x1085","numeric"
"x1086","numeric"
"x1087","numeric"
"x1088","numeric"
"x1089","numeric"
"x1090","numeric"
"x1091","numeric"
"x1092","numeric"
"x1093","numeric"
"x1094","numeric"
"x1095","numeric"
"x1096","numeric"
"x1097","numeric"
"x1098","numeric"
"x1099","numeric"
"x1100","numeric"
"x1101","numeric"
"x1102","numeric"
"x1103","numeric"
"x1104","numeric"
"x1105","numeric"
"x1106","numeric"
"x1107","category"
"x1108","category"
"x1109","category"
"x1110","category"
"x1111","category"
"x1112","category"
"x1113","category"
"x1114","category"
"x1115","category"
"x1116","category"
"x1117","category"
"x1118","category"
"x1119","category"
"x1120","category"
"x1121","category"
"x1122","category"
"x1123","category"
"x1124","category"
"x1125","category"
"x1126","category"
"x1127","category"
"x1128","category"
"x1129","category"
"x1130","category"
"x1131","category"
"x1132","category"
"x1133","category"
"x1134","category"
"x1135","category"
"x1136","category"
"x1137","category"
"x1138","category"
